# component	locked_baseline	upstream_commit_or_bug	classification	cve	decision	primary_source
lua	5.1.5	Lua-5.2.2-1	fixed-parameter-vararg-stack-overflow	CVE-2014-5461	already-covered-by-locked-QSDK-extension	https://www.lua.org/bugs.html#5.2.2-1
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	e8d83732f9eb571dce71aa915ff38a072579610b	parse-option-use-after-realloc	-	core-blocker	https://git.openwrt.org/project/uci/commit/?id=e8d83732f9eb571dce71aa915ff38a072579610b
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	9cf978bc79641691f0c603c71fcfa98c1626ce59	delta-null-pointer-dereference	-	core-blocker	https://git.openwrt.org/project/uci/commit/?id=9cf978bc79641691f0c603c71fcfa98c1626ce59
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	9b6605ec4c3ad6a6e5b6964b02a28d171a5802b5	uci-set-option-name-use-after-free	-	core-blocker-native-api	https://git.openwrt.org/project/uci/commit/?id=9b6605ec4c3ad6a6e5b6964b02a28d171a5802b5
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	47697e6579be2c9f4cfc51eec1d35d453c3c7c5e	uci-add-list-option-name-use-after-free	-	core-blocker-native-api	https://git.openwrt.org/project/uci/commit/?id=47697e6579be2c9f4cfc51eec1d35d453c3c7c5e
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	74f2797fca21fee456ca669e61dfde4e031c3db8	uci-add-list-non-atomic-on-OOM	-	core-hardening	https://git.openwrt.org/project/uci/commit/?id=74f2797fca21fee456ca669e61dfde4e031c3db8
libuci	415f9e48436d29f612348f58f546b3ad8d74ac38	16e8a3b1335a468c3aa6578db6ab2aa97b26fa45	uci-set-section-allocation-leak	-	core-hardening	https://git.openwrt.org/project/uci/commit/?id=16e8a3b1335a468c3aa6578db6ab2aa97b26fa45
libuci-ucimap	415f9e48436d29f612348f58f546b3ad8d74ac38	a2cab3b088a29b885e33b923edb062badfb92346	ucimap-use-after-free	-	not-in-six-package-payload	https://git.openwrt.org/project/uci/commit/?id=a2cab3b088a29b885e33b923edb062badfb92346
iwinfo	07315b6fdb2566a8626d8a1e4de76eb30456fe17	ebd5f84955d180b3357f7005762a6cfb42cf1b1c	uninitialized-return-on-total-scan-failure	-	correctness-not-security	https://git.openwrt.org/project/iwinfo/commit/?id=ebd5f84955d180b3357f7005762a6cfb42cf1b1c
iwinfo	07315b6fdb2566a8626d8a1e4de76eb30456fe17	dd4e1ffeacfde2499da67d523f548dead52e04c7	wpactl-client-socket-group-permissions	-	functional-not-security-backport	https://git.openwrt.org/project/iwinfo/commit/?id=dd4e1ffeacfde2499da67d523f548dead52e04c7
iwinfo	07315b6fdb2566a8626d8a1e4de76eb30456fe17	6e198d3757524570db96458cafb6ee085b366aca	uninitialized-wpactl-scan-fields-rpcd-array-index	-	backport	https://git.openwrt.org/project/iwinfo/commit/?id=6e198d3757524570db96458cafb6ee085b366aca
